 # L =          100
     # Time          E          M
          10       -9272          52
          20       -9772         196
          30       -9648         -88
          40       -9736        -214
          50       -9880         -28
          60      -10276         180
          70      -10024         216
          80      -10000         376
          90       -9976         322
         100      -10252         346
         110      -10360         274
         120      -10440         348
         130      -10268         282
         140       -9924         296
         150      -10060         342
         160      -10140         500
         170      -10200         342
         180      -10344         576
         190      -10292         926
         200      -10188         906
         210      -10244         380
         220       -9676         404
         230       -9992         210
         240      -10272         300
         250      -10040         130
         260      -10204         374
         270      -10172         666
         280       -9988         714
         290      -10060         704
         300      -10012        1046
         310       -9972        1208
         320      -10364        1136
         330      -10340        1018
         340      -10572        1218
         350      -10324        1024
         360      -10448         986
         370      -10520         738
         380      -10352         450
         390      -10028         640
         400      -10192         718
         410      -10476         940
         420      -10308         756
         430      -10112         512
         440      -10152         538
         450       -9956         446
         460       -9944         694
         470      -10136         692
         480      -10396         462
         490      -10192         624
         500      -10184         612
         510      -10796         856
         520      -10556         978
         530      -10624        1022
         540      -10504         968
         550      -10184        1032
         560      -10160        1314
         570      -10608        1306
         580      -10660        1058
         590      -10444         858
         600      -10372        1000
         610      -10668        1006
         620      -10456        1084
         630      -10544        1076
         640      -10332        1338
         650      -10488        1388
         660      -10516        1112
         670      -10152         936
         680      -10752         832
         690      -10256         918
         700      -10380         850
         710      -11156         710
         720      -10672         700
         730      -10904         638
         740      -10268         602
         750       -9996         762
         760      -10092         372
         770      -10464         270
         780      -10500         258
         790      -10516         700
         800      -10240         362
         810      -10740          50
         820      -10076          58
         830      -10252         -42
         840      -10244         170
         850      -10164         218
         860      -10264         220
         870      -10236         -38
         880      -10240          26
         890      -10420        -376
         900      -10628        -256
         910      -10940         -66
         920      -10388        -202
         930      -10372         124
         940      -10388        -376
         950      -10232        -378
         960      -10100        -266
         970      -10512         102
         980      -10276        -206
         990      -10000        -378
        1000      -10344          46
        1010      -10440         -16
        1020      -10372        -150
        1030      -10196          40
        1040      -10588         194
        1050      -10276          34
        1060      -10436         -52
        1070      -10412          -4
        1080      -10224          72
        1090      -10236        -362
        1100      -10124        -122
        1110      -10296         -58
        1120      -10128         -90
        1130      -10184         -22
        1140       -9860        -436
        1150      -10236        -888
        1160      -10100        -958
        1170      -10440        -788
        1180      -10020        -688
        1190      -10404        -468
        1200      -10496        -484
        1210      -10100        -510
        1220      -10428        -648
        1230       -9984        -276
        1240      -10284        -304
        1250      -10232        -404
        1260      -10092        -476
        1270      -10472        -260
        1280      -10160        -400
        1290      -10424        -456
        1300      -10284        -324
        1310      -10332        -114
        1320      -10112        -158
        1330      -10372        -230
        1340      -10260         112
        1350      -10564         -16
        1360      -10364         214
        1370      -10460         148
        1380       -9976         110
        1390      -10560        -190
        1400      -10248        -122
        1410      -10104        -232
        1420      -10124        -562
        1430      -10020        -672
        1440       -9896       -1028
        1450      -10368        -672
        1460      -10096        -806
        1470      -10080        -446
        1480       -9928        -232
        1490      -10328         -34
        1500      -10164         -12
        1510       -9908        -242
        1520      -10224        -370
        1530      -10124        -602
        1540      -10092        -548
        1550      -10440        -262
        1560      -10360        -264
        1570      -10588        -352
        1580      -10132        -554
        1590      -10096         162
        1600       -9932        -272
        1610      -10276         -94
        1620      -10364        -128
        1630      -10300        -378
        1640      -10480        -608
        1650      -10168        -512
        1660      -10476        -766
        1670      -10420        -582
        1680      -10380        -792
        1690      -10324        -888
        1700      -10232        -552
        1710      -10032        -722
        1720       -9936        -208
        1730      -10256         206
        1740      -10252        -204
        1750      -10220          72
        1760      -10456         -14
        1770      -10244        -134
        1780      -10444          66
        1790      -10416         186
        1800      -10160         730
        1810      -10248         532
        1820      -10372         440
        1830      -10324         306
        1840      -10368          34
        1850      -10408        -200
        1860      -10608         -16
        1870      -10500        -214
        1880      -10444          76
        1890      -10540         286
        1900      -10588         486
        1910      -10444         366
        1920      -10344         112
        1930      -10456         262
        1940      -10584         342
        1950      -10288         306
        1960      -10184         414
        1970      -10308         782
        1980      -10116         546
        1990      -10520         366
        2000      -10024         642
        2010      -10084         624
        2020      -10496         698
        2030      -10232         984
        2040      -10416         926
        2050      -10152         714
        2060      -10404         724
        2070      -10216         788
        2080      -10228         926
        2090      -10340         522
        2100       -9984         582
        2110      -10400         390
        2120      -10264         162
        2130      -10492         474
        2140      -10508         192
        2150      -10528          96
        2160      -10260          44
        2170      -10328         176
        2180      -10428         162
        2190      -10516        -170
        2200      -10576        -236
        2210      -10488        -546
        2220      -10528        -730
        2230      -10396        -866
        2240      -10456        -656
        2250      -10628        -848
        2260      -10220        -668
        2270      -10416        -536
        2280      -10464        -580
        2290      -10272        -312
        2300      -10532        -360
        2310      -10260        -252
        2320      -10164        -154
        2330       -9788        -188
        2340      -10160         -66
        2350      -10248        -120
        2360       -9904         -42
        2370      -10152        -236
        2380      -10108        -114
        2390       -9972        -260
        2400       -9972        -490
        2410      -10304        -826
        2420      -10404        -904
        2430      -10548        -998
        2440      -10752        -976
        2450      -10440       -1018
        2460      -10404       -1074
        2470      -10000        -868
        2480      -10416        -490
        2490      -10660       -1062
        2500       -9932        -968
        2510      -10492        -992
        2520      -10496        -982
        2530      -10316        -442
        2540      -10212        -592
        2550      -10012        -658
        2560       -9896        -340
        2570      -10196        -504
        2580      -10400        -860
        2590      -10268        -552
        2600      -10692        -716
        2610      -10244        -922
        2620      -10436        -876
        2630      -10296        -834
        2640      -10276        -664
        2650      -10480        -500
        2660      -10476        -586
        2670       -9880        -342
        2680       -9832        -270
        2690      -10352        -246
        2700       -9932        -438
        2710      -10172        -726
        2720      -10168        -554
        2730      -10352        -364
        2740      -10208        -536
        2750      -10288        -372
        2760      -10252        -336
        2770       -9832        -428
        2780       -9928        -464
        2790      -10300        -416
        2800      -10088        -376
        2810      -10484        -500
        2820      -10196        -364
        2830      -10456        -324
        2840      -10132        -652
        2850       -9920        -340
        2860       -9980        -324
        2870      -10300        -252
        2880      -10468        -524
        2890      -10172        -482
        2900      -10340        -320
        2910      -10132         154
        2920      -10544         110
        2930      -10208         200
        2940      -10292          66
        2950      -10548         244
        2960      -10548         404
        2970      -10324         366
        2980      -10264         470
        2990      -10408         328
        3000      -10252          24
        3010      -10440         104
        3020      -10216         138
        3030      -10248        -114
        3040      -10248        -166
        3050      -10312        -418
        3060      -10816        -200
        3070      -10536        -332
        3080       -9988        -362
        3090      -10376        -488
        3100      -10464        -218
        3110       -9880        -244
        3120      -10084        -344
        3130      -10332        -380
        3140      -10284          64
        3150      -10000         342
        3160       -9960         604
        3170      -10520         462
        3180      -10328          98
        3190      -10184         190
        3200      -10044          30
        3210      -10356         216
        3220      -10256         124
        3230      -10392        -138
        3240      -10196        -142
        3250      -10212          70
        3260      -10684         338
        3270      -10000         218
        3280      -10092         322
        3290      -10028         414
        3300      -10636         672
        3310       -9916         504
        3320      -10476         456
        3330      -10760          -2
        3340      -10248         322
        3350      -10244         238
        3360       -9984          14
        3370       -9960        -214
        3380      -10312        -558
        3390      -10360        -408
        3400       -9896        -140
        3410      -10176        -378
        3420      -10172        -334
        3430      -10384        -442
        3440      -10264         -38
        3450      -10340         -54
        3460      -10464        -302
        3470      -10168        -356
        3480      -10360        -416
        3490      -10012        -610
        3500      -10228        -548
        3510      -10132        -586
        3520       -9940        -268
        3530      -10112        -156
        3540      -10208         -74
        3550      -10492         320
        3560      -10336         226
        3570      -10460         344
        3580      -10276         126
        3590      -10096         254
        3600      -10260         510
        3610      -10264         648
        3620      -10472         648
        3630      -10596         418
        3640      -10124         886
        3650      -10180         666
        3660      -10768         646
        3670      -10340         506
        3680      -10364         742
        3690      -10300         314
        3700      -10016         364
        3710      -10328         616
        3720      -10172         546
        3730      -10620         578
        3740      -10276         476
        3750      -10116         252
        3760      -10148         314
        3770      -10344         338
        3780      -10408         378
        3790      -10180         526
        3800      -10352         722
        3810      -10144         372
        3820      -10176         560
        3830      -10360         556
        3840      -10152         550
        3850      -10564         488
        3860      -10364         652
