 # L =          100
     # Time          E          M
          10      -11384         236
          20      -12292         200
          30      -12516         222
          40      -12884         442
          50      -13452         562
          60      -13508         712
          70      -13580         502
          80      -14024         724
          90      -14012         928
         100      -14364        1018
         110      -14504         940
         120      -14592         744
         130      -14608         830
         140      -14608         562
         150      -14624         678
         160      -15156         948
         170      -14864         726
         180      -14920         758
         190      -15136         694
         200      -14788         916
         210      -15180         784
         220      -15288         856
         230      -15312         908
         240      -14952         988
         250      -15316        1066
         260      -15416        1080
         270      -15476        1152
         280      -15576        1156
         290      -15544         886
         300      -15500        1088
         310      -15360        1208
         320      -15536        1368
         330      -15312        1484
         340      -15296        1596
         350      -15264        1564
         360      -15492        1618
         370      -15796        1474
         380      -15592        1586
         390      -15532        1512
         400      -15436        1560
         410      -15556        1598
         420      -15656        1790
         430      -16000        1818
         440      -15620        1878
         450      -15644        1932
         460      -15812        2018
         470      -15804        2082
         480      -15740        2204
         490      -15708        2386
         500      -16016        2432
         510      -15844        2400
         520      -15948        2432
         530      -15996        2256
         540      -15952        2326
         550      -16020        2340
         560      -15980        2266
         570      -16016        1998
         580      -16200        2064
         590      -15752        2060
         600      -15984        2060
         610      -15880        2008
         620      -15932        2140
         630      -15892        2140
         640      -15668        2162
         650      -16020        2158
         660      -15824        2086
         670      -15876        2196
         680      -15984        2304
         690      -15968        2418
         700      -15992        2334
         710      -16044        2264
         720      -16236        2300
         730      -16092        2282
         740      -16064        2312
         750      -16040        2234
         760      -16016        2184
         770      -15872        2240
         780      -15944        2330
         790      -16188        2274
         800      -16252        2372
         810      -15984        2288
         820      -15908        2224
         830      -16096        2362
         840      -16200        2426
         850      -16124        2536
         860      -16068        2530
         870      -16072        2482
         880      -15924        2574
         890      -15816        2670
         900      -16292        2650
         910      -16244        2594
         920      -16340        2768
         930      -16216        2744
         940      -16204        2602
         950      -16084        2572
         960      -15992        2530
         970      -16108        2480
         980      -16404        2492
         990      -16364        2460
        1000      -16256        2628
        1010      -16388        2608
        1020      -16496        2712
        1030      -16040        2702
        1040      -16052        2912
        1050      -16084        2770
        1060      -16164        2978
        1070      -16112        2912
        1080      -16120        3030
        1090      -15852        2814
        1100      -16088        2918
        1110      -16156        2864
        1120      -16280        2938
        1130      -16312        3030
        1140      -16268        2940
        1150      -16244        2996
        1160      -16076        3120
        1170      -16032        2978
        1180      -16036        3030
        1190      -16352        2954
        1200      -16304        3140
        1210      -16224        2954
        1220      -16308        2896
        1230      -16472        2802
        1240      -16672        2844
        1250      -16448        2914
        1260      -16432        3116
        1270      -16004        2914
        1280      -16216        2998
        1290      -16220        3088
        1300      -16568        3194
        1310      -16400        3190
