 # L =          100
     # Time          E          M
          10       -9724         150
          20      -10892         222
          30      -10956         286
          40      -11564          88
          50      -11284        -180
          60      -11324        -222
          70      -11672         118
          80      -11188         360
          90      -11864         386
         100      -11880        -136
         110      -11892          88
         120      -12080         152
         130      -11868          60
         140      -11972         -36
         150      -11772        -178
         160      -11992        -314
         170      -11964        -248
         180      -11664        -240
         190      -11864         136
         200      -11396         262
         210      -11396         374
         220      -11740         334
         230      -11952         336
         240      -11648         220
         250      -12148         174
         260      -11876          16
         270      -11680        -160
         280      -12004         -50
         290      -11980          74
         300      -11648         162
         310      -12292         160
         320      -11828         606
         330      -12180         534
         340      -12152         520
         350      -12136         426
         360      -12164         284
         370      -11720         278
         380      -12220         158
         390      -11492         158
         400      -12164          50
         410      -12076          90
         420      -11672          76
         430      -12076        -128
         440      -11900         -98
         450      -11952        -380
         460      -12040        -476
         470      -11844        -612
         480      -11716        -750
         490      -12096        -724
         500      -12168        -726
         510      -12312        -822
         520      -12068        -924
         530      -12060       -1048
         540      -12164       -1006
         550      -11800       -1136
         560      -12136       -1234
         570      -12312       -1124
         580      -12052       -1086
         590      -11996        -952
         600      -12028        -964
         610      -12036       -1040
         620      -12000       -1346
         630      -12200       -1354
         640      -12328       -1326
         650      -12244       -1138
         660      -11832       -1056
         670      -12216       -1266
         680      -12532       -1202
         690      -12212        -994
         700      -12584       -1438
         710      -12552       -1764
         720      -12152       -1442
         730      -12284       -1522
         740      -12156       -1608
         750      -12088       -1674
         760      -12436       -1654
         770      -12336       -1960
         780      -12392       -1786
         790      -12212       -1858
         800      -12316       -1992
         810      -12188       -1950
         820      -12356       -2026
         830      -12404       -2020
         840      -12372       -2286
         850      -12112       -2458
         860      -12284       -2786
         870      -12608       -2616
         880      -11848       -2658
         890      -12408       -2836
         900      -12100       -2716
         910      -12024       -2548
         920      -12216       -2584
         930      -12028       -2276
         940      -12048       -2410
         950      -12460       -2552
         960      -11860       -2318
         970      -12484       -2468
         980      -11932       -2222
         990      -12152       -2460
        1000      -12028       -2656
        1010      -12120       -2856
        1020      -12228       -2626
        1030      -12100       -2356
        1040      -12028       -2370
        1050      -12140       -2238
        1060      -12304       -2134
        1070      -12152       -1900
        1080      -12528       -2144
        1090      -12324       -2202
        1100      -12432       -2140
        1110      -11836       -1804
        1120      -11844       -1674
        1130      -12108       -1616
        1140      -12000       -1734
        1150      -12600       -1746
        1160      -12476       -1706
        1170      -11932       -1684
        1180      -12396       -1936
        1190      -12496       -2046
        1200      -12540       -2238
        1210      -12084       -2118
        1220      -12336       -2152
        1230      -12184       -2182
        1240      -12284       -1992
        1250      -12292       -1996
        1260      -11980       -1976
        1270      -12312       -1932
        1280      -12496       -1966
        1290      -12256       -2160
        1300      -12488       -2076
        1310      -12100       -2034
        1320      -12308       -2096
        1330      -12360       -2314
        1340      -12344       -2294
        1350      -11896       -2198
        1360      -12328       -2268
        1370      -12356       -2752
        1380      -12348       -2848
        1390      -12124       -2668
        1400      -12380       -2510
        1410      -12352       -2554
        1420      -12196       -2724
        1430      -12096       -2666
        1440      -12448       -2772
        1450      -12232       -2882
        1460      -12264       -2884
        1470      -12140       -2962
        1480      -12348       -3038
        1490      -12796       -2854
        1500      -12660       -2832
        1510      -12540       -2744
        1520      -12468       -2832
        1530      -12272       -2794
        1540      -12404       -2584
        1550      -12564       -2728
        1560      -12620       -2796
        1570      -12312       -2554
        1580      -12336       -2736
        1590      -12268       -2702
        1600      -12380       -2636
        1610      -12596       -2722
        1620      -12564       -2836
        1630      -13168       -2860
        1640      -12980       -2848
        1650      -12812       -2774
        1660      -12588       -2492
        1670      -12600       -2436
        1680      -11804       -2486
        1690      -12360       -2608
        1700      -12288       -2554
        1710      -12508       -2352
        1720      -12604       -2390
        1730      -12188       -2362
        1740      -12312       -2146
        1750      -12040       -2132
        1760      -12112       -2222
        1770      -12244       -1990
        1780      -12256       -2314
        1790      -12000       -1964
        1800      -12208       -2002
        1810      -12224       -2004
        1820      -12524       -1760
        1830      -12396       -1640
        1840      -12388       -1668
        1850      -12344       -1908
        1860      -11956       -1928
        1870      -11708       -1566
        1880      -11648       -1328
        1890      -11788       -1408
        1900      -12180       -1686
        1910      -11764       -1686
        1920      -11704       -1550
        1930      -12212       -1658
        1940      -12136       -1564
        1950      -12300       -1340
        1960      -12076       -1160
        1970      -11664       -1362
        1980      -11908       -1306
        1990      -11636       -1324
        2000      -12244       -1086
        2010      -12096       -1152
        2020      -11872       -1192
        2030      -11900       -1068
        2040      -11944        -884
        2050      -12300       -1134
        2060      -12196        -676
        2070      -12268        -694
        2080      -11932        -514
        2090      -11700        -368
        2100      -11788        -482
        2110      -11732       -1036
        2120      -12056        -936
        2130      -11916        -674
        2140      -12076        -194
        2150      -12016        -170
        2160      -12036         -94
        2170      -11908         -94
        2180      -12208         -74
        2190      -12152         334
        2200      -12228         498
        2210      -12084         210
        2220      -12072         120
        2230      -12168         142
        2240      -12140          92
        2250      -12304         430
        2260      -12224         118
        2270      -11808         -12
        2280      -11864        -188
        2290      -12220        -308
        2300      -12176        -226
        2310      -12172        -168
        2320      -12024        -288
        2330      -12012         -84
        2340      -12156         -44
        2350      -12064        -122
        2360      -12092         164
        2370      -12048         440
        2380      -11708         542
        2390      -11848         580
        2400      -12192         694
        2410      -11992         690
        2420      -11792         634
        2430      -11804         512
        2440      -11960         434
        2450      -11900         296
        2460      -11832         216
        2470      -11872         -34
        2480      -11592         172
        2490      -11888          28
        2500      -12156        -186
        2510      -12348        -116
        2520      -12300        -272
        2530      -12580          50
        2540      -12416         -54
        2550      -12108         118
        2560      -12120         304
        2570      -12336         320
        2580      -12292         242
        2590      -12076         132
        2600      -12104        -162
        2610      -12096        -156
        2620      -11552         -82
        2630      -12320          50
        2640      -12096          10
        2650      -11904        -136
        2660      -11976         152
        2670      -11456         144
        2680      -12112         -12
        2690      -12308         134
        2700      -12228          36
        2710      -12140         186
        2720      -12188         240
        2730      -12416         258
        2740      -11672         362
        2750      -11948         528
        2760      -11980         322
        2770      -11824         320
        2780      -12128         126
        2790      -12320         -18
        2800      -12324          26
        2810      -12088         456
        2820      -12368         544
        2830      -12052         716
        2840      -11988         938
        2850      -12116         636
        2860      -12216         794
        2870      -12160         784
        2880      -12332         732
        2890      -12204         948
        2900      -12236         864
