 # L =          100
     # Time          E          M
         990      -15060       -1962
        1000      -14968       -1970
        1010      -15304       -1992
        1020      -14972       -1930
        1030      -15292       -1940
        1040      -15340       -2136
        1050      -15156       -2022
        1060      -15344       -1998
        1070      -14904       -1950
        1080      -14828       -1964
        1090      -15020       -1968
        1100      -15352       -2018
        1110      -15308       -2232
        1120      -15224       -2438
        1130      -15328       -2444
        1140      -15556       -2626
        1150      -15564       -2450
        1160      -15452       -2472
        1170      -15736       -2494
        1180      -15384       -2334
        1190      -15516       -2336
        1200      -15564       -2296
        1210      -15712       -2616
        1220      -15236       -2376
        1230      -15376       -2360
        1240      -15388       -2310
        1250      -15452       -2270
        1260      -15552       -2342
        1270      -15344       -2180
        1280      -15532       -2406
        1290      -15700       -2508
        1300      -15732       -2390
        1310      -15292       -2354
        1320      -15588       -2412
        1330      -15204       -2562
        1340      -15404       -2360
        1350      -15344       -2658
        1360      -15696       -2318
        1370      -15684       -2540
        1380      -15524       -2610
        1390      -15704       -2670
        1400      -15692       -2716
        1410      -15764       -2710
        1420      -15580       -2786
        1430      -15764       -2882
        1440      -15368       -2888
        1450      -15452       -2790
        1460      -15488       -2844
        1470      -15768       -2818
        1480      -15904       -2776
        1490      -15992       -2584
        1500      -15652       -2710
        1510      -15180       -2782
        1520      -15428       -2628
        1530      -15408       -2520
        1540      -15636       -2566
        1550      -15576       -2592
        1560      -15344       -2472
        1570      -15224       -2470
        1580      -15404       -2478
        1590      -15040       -2440
        1600      -15668       -2616
        1610      -15480       -2650
        1620      -15688       -2574
        1630      -15608       -2400
        1640      -15620       -2552
        1650      -15440       -2608
        1660      -15412       -2692
        1670      -15532       -2682
        1680      -15460       -2628
        1690      -15664       -2698
        1700      -15612       -2708
        1710      -15672       -2540
        1720      -15876       -2674
        1730      -15876       -2612
        1740      -15464       -2478
        1750      -15868       -2632
        1760      -15596       -2580
        1770      -15728       -2576
        1780      -16036       -2600
        1790      -15908       -2628
        1800      -15544       -2594
        1810      -15704       -2644
        1820      -15584       -2514
        1830      -15632       -2550
        1840      -15672       -2554
        1850      -15648       -2654
        1860      -15448       -2654
        1870      -15536       -2640
        1880      -15804       -2746
        1890      -15908       -2814
        1900      -15756       -2876
        1910      -15480       -2714
        1920      -15660       -2824
        1930      -15908       -2708
        1940      -15680       -2688
        1950      -15716       -2846
        1960      -15184       -2846
        1970      -15580       -2828
        1980      -15604       -3084
        1990      -15340       -2834
        2000      -15368       -2732
        2010      -15788       -2898
        2020      -15472       -2794
        2030      -15568       -2868
        2040      -15460       -2872
        2050      -15432       -2890
        2060      -15928       -2926
        2070      -15664       -3156
        2080      -15900       -3088
        2090      -15924       -2992
        2100      -16220       -3112
        2110      -15812       -2970
        2120      -15708       -2954
        2130      -15592       -2910
        2140      -15720       -2778
        2150      -15440       -2830
        2160      -16040       -2848
        2170      -15212       -2992
        2180      -15376       -3022
        2190      -16164       -3102
        2200      -15656       -3036
        2210      -15952       -3022
        2220      -15708       -2976
        2230      -15924       -3044
        2240      -16076       -2948
        2250      -15952       -2872
        2260      -15732       -2668
        2270      -15456       -2710
        2280      -15632       -2606
        2290      -15560       -2736
        2300      -15804       -2770
        2310      -15556       -2494
        2320      -15772       -2396
        2330      -15580       -2496
        2340      -15808       -2354
        2350      -15688       -2224
        2360      -15828       -2090
        2370      -15924       -2274
        2380      -15904       -2056
        2390      -15372       -2124
        2400      -15868       -2172
        2410      -15776       -2054
        2420      -15620       -1932
        2430      -15716       -1990
        2440      -15764       -1878
        2450      -15796       -1774
        2460      -15976       -1928
        2470      -15720       -2048
        2480      -15708       -1902
        2490      -15836       -1804
        2500      -15796       -1862
        2510      -16108       -1914
        2520      -15964       -1968
        2530      -15884       -2050
        2540      -16052       -2028
        2550      -16048       -2028
        2560      -15848       -2114
        2570      -16008       -2134
        2580      -16192       -2046
        2590      -16188       -2092
        2600      -16136       -2078
        2610      -16428       -2132
        2620      -16048       -2264
        2630      -16036       -2348
        2640      -15688       -2606
        2650      -15832       -2506
        2660      -15732       -2318
        2670      -16204       -2408
        2680      -15676       -2522
        2690      -15924       -2604
        2700      -16064       -2564
        2710      -15744       -2742
        2720      -15780       -2896
        2730      -15884       -2662
        2740      -15928       -2794
        2750      -15468       -2698
        2760      -15492       -2524
        2770      -15316       -2548
        2780      -15856       -2554
        2790      -15560       -2594
        2800      -15836       -2542
        2810      -16148       -2474
        2820      -16156       -2534
        2830      -16196       -2474
        2840      -15572       -2368
        2850      -16048       -2460
        2860      -15952       -2592
        2870      -15760       -2484
        2880      -15712       -2508
        2890      -16036       -2366
        2900      -15924       -2360
        2910      -15844       -2398
        2920      -16060       -2438
        2930      -15492       -2376
        2940      -16004       -2298
        2950      -15512       -2222
        2960      -15428       -2134
        2970      -15816       -2096
        2980      -15644       -2154
        2990      -15808       -2234
        3000      -15780       -2042
        3010      -15892       -2248
        3020      -15768       -2248
        3030      -16172       -2138
        3040      -16120       -2310
        3050      -15916       -2268
        3060      -16020       -2340
        3070      -15976       -2266
        3080      -15796       -2320
        3090      -15812       -2126
        3100      -15832       -2152
        3110      -15900       -2122
        3120      -15912       -2146
        3130      -15660       -2056
        3140      -15936       -2194
        3150      -15756       -2218
        3160      -15876       -2202
        3170      -15532       -1972
        3180      -15780       -2064
        3190      -15784       -2144
        3200      -16112       -2534
        3210      -15904       -2410
        3220      -15816       -2308
        3230      -15896       -2258
        3240      -15668       -2294
        3250      -16064       -2506
        3260      -16132       -2608
        3270      -15696       -2462
        3280      -15704       -2490
        3290      -16108       -2648
        3300      -16052       -2690
        3310      -15972       -2698
        3320      -15960       -2604
        3330      -15760       -2556
        3340      -15744       -2548
        3350      -15968       -2480
        3360      -15700       -2524
        3370      -15756       -2602
        3380      -15848       -2496
        3390      -15756       -2684
        3400      -15884       -2724
        3410      -16196       -2582
        3420      -16104       -2650
        3430      -15972       -2576
        3440      -15684       -2456
        3450      -16112       -2406
        3460      -16260       -2376
        3470      -15964       -2484
        3480      -15832       -2332
        3490      -15452       -2352
        3500      -15760       -2544
        3510      -16224       -2690
        3520      -15760       -2518
        3530      -16020       -2466
        3540      -16268       -2560
        3550      -15824       -2492
        3560      -15908       -2604
        3570      -16024       -2436
        3580      -15972       -2508
        3590      -16056       -2550
        3600      -15936       -2516
        3610      -15840       -2548
        3620      -16104       -2452
        3630      -16020       -2446
        3640      -15952       -2412
        3650      -16296       -2320
        3660      -16052       -2256
        3670      -15652       -2134
        3680      -15868       -2088
        3690      -15688       -2128
        3700      -15668       -2080
        3710      -16192       -2244
        3720      -15980       -2106
        3730      -16068       -2324
        3740      -15984       -2516
        3750      -16120       -2592
        3760      -16148       -2562
        3770      -16024       -2718
        3780      -16028       -2612
        3790      -15712       -2648
        3800      -15944       -2664
        3810      -16160       -2722
        3820      -16200       -2760
        3830      -16040       -2662
        3840      -15740       -2716
        3850      -15684       -2796
        3860      -16144       -2970
        3870      -16048       -2768
        3880      -15620       -2878
        3890      -15912       -3098
        3900      -16016       -2992
        3910      -16048       -3014
        3920      -15916       -2876
        3930      -15404       -2808
        3940      -15664       -2804
        3950      -15976       -2990
        3960      -15992       -2722
        3970      -16068       -2742
        3980      -15936       -2796
        3990      -15936       -2668
        4000      -15896       -2792
        4010      -15848       -2636
        4020      -15872       -2556
        4030      -15772       -2546
        4040      -15540       -2492
        4050      -15412       -2388
        4060      -15512       -2570
        4070      -15948       -2614
        4080      -16088       -2774
        4090      -16064       -2716
        4100      -16108       -2754
        4110      -15992       -2548
        4120      -15928       -2658
        4130      -16088       -2750
        4140      -16116       -2624
        4150      -15816       -2512
        4160      -16148       -2480
        4170      -15816       -2564
        4180      -15844       -2402
        4190      -15632       -2514
        4200      -15700       -2506
        4210      -15852       -2538
        4220      -15868       -2442
        4230      -16044       -2396
        4240      -16208       -2526
        4250      -15896       -2518
        4260      -15924       -2570
        4270      -16220       -2666
        4280      -16088       -2720
        4290      -15996       -2832
        4300      -15972       -2884
        4310      -15896       -2740
        4320      -16144       -2658
        4330      -16116       -2674
        4340      -15948       -2596
        4350      -16004       -2646
        4360      -16184       -2662
        4370      -16060       -2512
        4380      -15784       -2784
        4390      -15880       -2800
        4400      -16132       -2624
        4410      -16160       -2794
        4420      -16076       -2768
        4430      -16136       -2826
        4440      -15996       -2742
        4450      -15876       -2768
        4460      -15704       -2634
        4470      -15928       -2668
        4480      -16164       -2870
        4490      -16076       -2814
        4500      -16116       -2742
        4510      -16128       -2666
        4520      -15992       -2864
        4530      -15912       -2880
        4540      -16132       -2828
        4550      -16036       -3080
        4560      -16268       -3234
        4570      -16236       -3170
        4580      -16032       -3148
        4590      -16084       -2978
        4600      -15888       -3102
        4610      -15964       -2952
        4620      -15916       -3014
        4630      -16024       -2996
        4640      -16088       -3096
        4650      -15956       -3144
        4660      -16076       -3170
        4670      -16300       -3250
        4680      -15892       -3282
        4690      -16076       -3172
        4700      -16020       -3136
        4710      -16088       -3100
        4720      -15776       -2898
        4730      -15948       -2918
        4740      -15764       -2742
        4750      -15860       -2834
        4760      -16116       -2800
        4770      -15896       -2616
        4780      -16020       -2558
        4790      -15876       -2528
        4800      -15932       -2476
        4810      -15720       -2414
        4820      -15900       -2536
        4830      -15936       -2450
        4840      -16152       -2486
        4850      -15840       -2298
        4860      -16076       -2320
        4870      -15876       -2256
        4880      -15888       -2260
        4890      -15932       -2256
        4900      -15816       -2282
        4910      -16136       -2396
        4920      -15852       -2568
        4930      -15924       -2752
        4940      -16044       -2650
        4950      -15660       -2688
        4960      -16052       -2664
        4970      -16028       -2654
        4980      -16032       -2638
        4990      -15948       -2670
        5000      -15872       -2594
        5010      -15952       -2510
        5020      -15808       -2628
        5030      -15868       -2634
        5040      -15900       -2496
        5050      -15820       -2612
        5060      -15752       -2554
        5070      -15720       -2760
        5080      -15820       -2722
        5090      -15852       -2774
        5100      -15964       -2842
        5110      -15952       -2768
        5120      -15928       -2808
        5130      -16072       -2762
        5140      -15988       -2712
        5150      -15888       -2796
        5160      -15728       -2766
        5170      -15912       -2856
        5180      -15676       -2876
        5190      -15680       -2944
        5200      -15768       -2948
        5210      -15720       -2814
        5220      -15672       -2812
        5230      -15872       -2906
        5240      -15960       -2746
        5250      -15724       -2848
        5260      -15996       -2952
        5270      -15964       -2744
        5280      -16188       -2978
        5290      -15908       -2992
        5300      -15992       -2860
        5310      -15840       -2790
        5320      -15924       -2736
        5330      -15440       -2484
        5340      -16132       -2610
        5350      -15948       -2596
        5360      -15660       -2570
        5370      -15836       -2508
        5380      -16056       -2384
        5390      -16172       -2468
        5400      -15880       -2594
        5410      -15920       -2822
        5420      -15908       -2700
        5430      -15972       -2680
        5440      -15716       -2726
        5450      -15980       -2810
        5460      -15596       -2802
        5470      -15812       -2930
        5480      -15788       -2876
        5490      -15704       -2810
        5500      -15692       -2842
        5510      -15492       -2976
        5520      -15508       -3134
        5530      -15316       -3262
        5540      -15668       -3212
        5550      -15588       -3094
        5560      -15780       -3066
        5570      -15680       -3246
        5580      -15528       -3178
        5590      -15944       -3336
        5600      -15888       -3314
        5610      -15796       -3304
        5620      -15704       -3050
        5630      -15800       -3134
        5640      -15568       -3090
        5650      -15720       -3132
        5660      -15768       -3238
        5670      -16108       -3196
        5680      -15752       -3302
        5690      -16216       -3616
        5700      -15976       -3452
        5710      -15648       -3292
        5720      -15748       -3226
        5730      -15800       -3058
        5740      -15904       -3090
        5750      -15984       -3170
        5760      -15736       -3038
        5770      -16120       -2984
        5780      -15948       -2918
        5790      -16080       -2770
        5800      -15904       -2688
        5810      -15968       -2830
        5820      -15764       -2894
        5830      -15660       -2844
        5840      -15996       -2998
        5850      -15684       -3156
        5860      -15968       -3220
        5870      -16096       -3106
        5880      -15740       -3020
        5890      -15728       -3070
        5900      -15672       -3252
        5910      -15628       -3306
        5920      -15676       -3352
        5930      -16100       -3358
        5940      -16072       -3520
        5950      -16252       -3544
        5960      -15928       -3460
        5970      -15976       -3378
        5980      -16064       -3356
        5990      -16156       -3390
        6000      -16412       -3310
        6010      -15900       -3354
        6020      -16324       -3408
        6030      -16172       -3412
        6040      -15892       -3194
        6050      -15832       -3184
        6060      -16008       -3168
        6070      -15980       -3018
        6080      -15540       -3094
        6090      -15528       -3120
        6100      -15704       -3070
        6110      -15648       -3090
        6120      -16204       -3338
        6130      -15964       -3312
        6140      -16072       -3534
        6150      -15920       -3398
        6160      -15788       -3418
        6170      -15792       -3354
        6180      -15900       -3232
        6190      -15672       -3204
        6200      -15680       -3218
        6210      -15516       -3292
        6220      -15412       -3152
        6230      -15964       -3280
        6240      -16000       -3352
        6250      -15668       -3310
        6260      -15580       -3286
        6270      -15344       -3374
        6280      -15748       -3404
        6290      -15888       -3504
        6300      -15640       -3684
        6310      -15848       -3758
        6320      -15804       -3838
        6330      -16064       -3910
        6340      -16100       -4002
        6350      -15628       -3798
        6360      -15520       -3840
        6370      -15660       -3990
        6380      -15628       -3968
        6390      -15656       -3816
        6400      -15980       -3990
        6410      -15840       -4054
        6420      -15904       -3998
        6430      -15700       -3804
        6440      -15876       -4004
        6450      -15604       -3814
        6460      -15552       -3818
        6470      -15556       -3824
        6480      -15320       -3652
        6490      -15592       -3796
        6500      -15984       -3874
        6510      -15728       -3710
        6520      -15764       -3678
        6530      -15788       -3654
        6540      -15496       -3644
        6550      -15888       -3762
        6560      -15888       -3768
        6570      -15956       -3824
        6580      -15672       -3818
        6590      -15688       -3962
        6600      -16176       -4102
        6610      -15996       -3902
        6620      -15724       -4070
        6630      -15524       -3908
        6640      -15772       -4128
        6650      -15760       -4016
        6660      -15604       -4146
        6670      -15652       -4262
        6680      -15584       -4014
        6690      -15392       -4100
        6700      -15572       -4046
        6710      -15624       -4032
        6720      -15876       -3914
        6730      -15844       -3954
        6740      -15956       -4156
        6750      -15768       -4310
        6760      -15848       -4256
        6770      -15772       -4090
        6780      -15764       -4232
        6790      -15956       -4280
        6800      -16084       -4194
        6810      -16040       -4036
        6820      -16000       -4030
        6830      -16020       -3992
        6840      -16020       -3846
        6850      -16280       -3946
        6860      -16420       -4026
        6870      -16052       -4126
        6880      -16012       -4098
        6890      -16172       -4084
        6900      -15872       -4046
        6910      -16084       -4012
        6920      -15768       -3856
        6930      -15752       -3926
        6940      -15848       -3958
        6950      -16088       -4028
        6960      -15880       -4048
        6970      -15984       -4076
        6980      -15832       -4146
        6990      -15968       -4040
        7000      -15968       -4054
        7010      -16004       -3914
        7020      -15812       -3988
        7030      -15764       -4132
        7040      -16036       -4068
        7050      -15968       -4130
        7060      -15772       -4200
        7070      -16028       -4244
        7080      -15876       -4084
        7090      -15876       -4118
        7100      -16016       -4064
        7110      -15712       -4180
        7120      -15816       -4048
        7130      -15816       -4120
        7140      -16292       -4122
        7150      -15748       -4078
        7160      -15996       -3928
        7170      -15892       -3934
        7180      -15708       -3912
        7190      -15564       -3510
        7200      -15708       -3686
        7210      -15852       -3712
        7220      -15896       -3824
        7230      -15284       -3748
        7240      -15620       -3938
        7250      -15604       -3838
        7260      -15880       -3928
        7270      -15904       -3912
        7280      -15800       -3962
        7290      -15668       -3808
        7300      -15532       -3994
        7310      -15572       -4204
        7320      -15832       -4234
        7330      -15308       -4180
        7340      -15384       -4232
        7350      -15688       -4124
        7360      -15912       -4250
        7370      -15536       -4058
        7380      -15796       -4222
        7390      -15432       -4228
        7400      -15980       -4480
        7410      -15932       -4362
        7420      -15996       -4398
        7430      -15992       -4350
        7440      -15912       -4262
        7450      -16132       -4286
        7460      -15612       -4154
        7470      -15652       -4192
        7480      -15640       -4284
        7490      -15812       -4266
        7500      -15760       -4464
        7510      -15760       -4318
        7520      -15620       -4262
        7530      -15816       -4128
        7540      -15812       -4166
        7550      -16040       -4154
        7560      -16392       -4196
        7570      -16280       -4202
        7580      -15972       -3938
        7590      -15752       -3826
        7600      -16148       -3916
        7610      -16024       -3976
        7620      -16128       -4106
        7630      -15888       -4086
        7640      -15836       -4156
        7650      -15864       -4168
        7660      -15864       -4142
        7670      -15492       -3862
        7680      -15660       -4080
        7690      -15620       -3924
        7700      -15784       -3956
        7710      -15812       -3892
        7720      -16056       -3944
        7730      -15388       -3990
        7740      -16164       -4020
        7750      -16052       -4068
        7760      -16116       -4032
        7770      -16148       -4340
        7780      -15984       -4324
        7790      -15868       -4304
        7800      -15908       -4370
        7810      -15948       -4314
        7820      -15820       -4288
        7830      -15976       -4364
        7840      -15580       -4254
        7850      -15544       -3904
        7860      -15768       -4010
        7870      -16064       -4354
        7880      -15776       -4150
        7890      -15808       -4298
        7900      -15816       -4124
        7910      -15880       -4004
        7920      -15684       -3982
        7930      -15940       -4250
        7940      -15908       -4082
        7950      -16132       -4124
        7960      -16216       -4116
        7970      -15760       -3914
        7980      -15808       -3976
        7990      -15820       -3858
        8000      -15780       -3884
        8010      -15864       -3848
        8020      -15840       -3962
        8030      -15976       -3986
        8040      -15840       -3918
        8050      -15964       -4108
        8060      -15808       -4142
        8070      -15724       -4024
        8080      -15956       -4172
        8090      -16020       -4176
        8100      -15928       -4232
        8110      -16048       -4238
        8120      -16196       -4242
        8130      -16036       -4346
        8140      -15752       -4378
        8150      -16120       -4308
        8160      -15984       -4320
        8170      -16288       -4550
        8180      -16132       -4488
        8190      -16180       -4414
        8200      -15884       -4538
        8210      -15932       -4468
        8220      -16104       -4492
        8230      -15936       -4168
        8240      -16036       -4360
        8250      -16028       -4278
        8260      -16064       -4278
        8270      -16168       -4294
        8280      -15912       -4358
        8290      -15992       -4402
        8300      -16116       -4402
        8310      -16004       -4492
        8320      -16040       -4344
        8330      -16204       -4454
        8340      -15896       -4468
        8350      -16080       -4604
        8360      -16200       -4632
        8370      -16044       -4440
        8380      -16028       -4384
        8390      -16208       -4440
        8400      -15940       -4340
        8410      -15920       -4338
        8420      -15916       -4256
        8430      -15720       -4292
        8440      -15752       -4336
        8450      -16224       -4434
        8460      -15856       -4516
        8470      -15652       -4640
        8480      -15924       -4848
        8490      -15804       -4712
        8500      -15584       -4534
        8510      -15740       -4506
        8520      -16008       -4510
        8530      -15900       -4546
        8540      -15776       -4432
        8550      -16204       -4704
        8560      -16000       -4790
        8570      -15976       -4868
        8580      -15932       -4702
        8590      -16108       -4724
        8600      -16240       -4788
        8610      -16044       -4624
        8620      -15996       -4538
        8630      -15876       -4592
        8640      -15504       -4708
        8650      -16084       -4866
        8660      -15948       -4910
        8670      -16064       -4686
        8680      -15956       -4960
        8690      -15868       -5132
        8700      -15936       -5208
        8710      -15996       -5184
        8720      -15784       -5094
        8730      -15564       -5078
        8740      -15796       -5104
        8750      -15808       -4948
        8760      -15720       -4844
        8770      -15768       -4770
        8780      -15904       -4850
        8790      -15632       -4700
        8800      -15796       -4780
        8810      -15732       -4884
        8820      -16024       -4906
        8830      -15768       -4888
        8840      -15868       -4756
        8850      -15820       -4702
        8860      -15976       -4790
        8870      -15948       -4686
        8880      -15832       -4698
        8890      -15928       -4700
        8900      -15868       -5034
        8910      -15604       -4766
        8920      -15652       -4826
        8930      -15760       -4850
        8940      -15856       -4898
        8950      -15836       -5000
        8960      -15776       -4886
        8970      -15796       -4858
        8980      -15740       -4892
        8990      -15820       -4850
        9000      -15728       -4880
        9010      -15972       -5034
        9020      -15816       -5046
        9030      -15792       -4838
        9040      -15732       -4806
        9050      -15932       -5010
        9060      -15828       -5014
        9070      -15784       -4990
        9080      -15948       -5052
        9090      -15776       -5052
        9100      -16044       -5260
        9110      -15852       -5114
        9120      -15840       -5190
        9130      -16136       -5392
        9140      -15992       -5452
        9150      -16196       -5482
        9160      -16056       -5598
        9170      -15928       -5498
        9180      -16132       -5476
        9190      -15804       -5494
        9200      -16224       -5614
        9210      -16052       -5516
        9220      -15876       -5538
        9230      -15880       -5592
        9240      -16136       -5500
        9250      -16168       -5674
        9260      -16184       -5730
        9270      -16244       -5726
        9280      -16076       -5590
        9290      -15960       -5490
        9300      -15960       -5548
        9310      -15908       -5626
        9320      -15800       -5554
        9330      -15864       -5662
        9340      -15904       -5722
        9350      -15996       -5726
        9360      -16140       -5780
        9370      -15888       -5874
        9380      -15636       -5824
        9390      -16064       -5908
        9400      -16112       -6016
        9410      -16040       -6016
        9420      -16496       -6080
        9430      -16256       -6034
        9440      -16040       -5858
        9450      -16292       -5888
        9460      -15884       -5762
        9470      -15988       -5864
        9480      -16256       -6008
        9490      -16132       -5892
        9500      -16548       -5984
        9510      -16224       -5930
        9520      -15880       -5734
        9530      -16068       -5834
        9540      -15956       -5824
        9550      -15928       -5804
        9560      -15848       -5746
        9570      -15892       -5734
        9580      -15868       -5758
        9590      -16248       -5874
        9600      -16164       -6038
        9610      -16172       -6020
        9620      -15788       -5946
        9630      -16152       -6168
        9640      -15952       -6164
        9650      -16048       -6284
        9660      -15844       -6140
        9670      -15952       -6334
        9680      -15952       -6342
        9690      -15928       -6314
        9700      -16328       -6446
        9710      -15784       -6232
        9720      -15820       -6252
        9730      -15908       -6396
        9740      -15872       -6440
        9750      -16420       -6632
        9760      -16196       -6732
        9770      -16224       -6854
        9780      -16148       -6898
        9790      -16408       -7012
        9800      -16300       -6934
        9810      -16424       -6924
        9820      -16140       -6856
        9830      -16312       -6878
        9840      -16292       -6926
        9850      -16196       -6814
        9860      -16140       -6776
        9870      -16092       -6946
        9880      -16552       -7068
        9890      -16456       -7082
        9900      -16284       -7040
        9910      -16328       -7062
        9920      -16328       -7098
        9930      -16348       -7096
        9940      -16028       -6968
        9950      -16156       -7048
        9960      -16564       -7172
        9970      -16216       -6990
        9980      -16172       -7002
        9990      -16708       -7164
       10000      -16424       -7176
       10010      -16336       -7084
       10020      -16780       -7194
       10030      -16660       -7112
       10040      -16156       -7034
       10050      -16540       -7196
       10060      -16264       -7190
       10070      -16496       -7282
       10080      -15968       -7190
       10090      -16100       -7222
       10100      -16112       -7106
       10110      -16192       -7074
       10120      -16444       -7304
       10130      -16120       -7236
       10140      -16260       -7198
       10150      -15768       -7054
       10160      -16188       -7160
       10170      -16056       -7218
       10180      -15944       -7210
       10190      -16004       -7194
       10200      -15876       -7138
       10210      -16308       -7328
       10220      -16200       -7298
       10230      -15916       -7254
       10240      -15844       -7248
       10250      -16356       -7478
       10260      -16184       -7346
       10270      -16116       -7364
       10280      -16164       -7258
       10290      -16320       -7408
       10300      -16428       -7454
       10310      -16344       -7428
       10320      -16152       -7340
       10330      -16300       -7260
       10340      -16288       -7316
       10350      -16248       -7286
       10360      -16064       -7348
       10370      -16360       -7448
       10380      -16088       -7338
       10390      -16280       -7402
       10400      -16436       -7550
       10410      -16480       -7556
       10420      -16176       -7470
       10430      -16076       -7458
       10440      -16020       -7256
       10450      -15980       -7166
       10460      -15912       -7178
       10470      -16120       -7256
       10480      -16100       -7272
       10490      -16428       -7400
       10500      -16180       -7310
       10510      -16512       -7460
       10520      -16448       -7462
       10530      -16208       -7418
       10540      -16352       -7500
       10550      -16260       -7398
       10560      -16416       -7464
       10570      -16028       -7358
       10580      -16024       -7280
       10590      -16440       -7482
       10600      -16260       -7468
       10610      -16588       -7644
       10620      -16616       -7586
       10630      -16520       -7632
       10640      -17000       -7770
       10650      -16296       -7462
       10660      -16312       -7460
       10670      -16408       -7380
       10680      -16364       -7392
       10690      -16036       -7334
       10700      -16340       -7412
       10710      -16228       -7280
       10720      -16280       -7344
       10730      -16328       -7408
       10740      -16036       -7386
       10750      -16240       -7374
       10760      -16352       -7374
       10770      -16500       -7514
       10780      -16528       -7636
       10790      -16256       -7518
       10800      -16452       -7686
       10810      -16380       -7560
       10820      -16212       -7552
       10830      -16080       -7406
       10840      -16448       -7544
       10850      -16072       -7470
       10860      -16400       -7652
       10870      -16064       -7546
       10880      -16244       -7728
       10890      -16180       -7658
       10900      -15976       -7626
       10910      -16340       -7746
       10920      -16004       -7704
       10930      -16192       -7744
       10940      -16244       -7782
       10950      -16320       -7750
       10960      -16324       -7864
       10970      -16288       -7804
       10980      -16240       -7766
       10990      -16248       -7728
       11000      -16260       -7758
       11010      -16400       -7748
       11020      -15976       -7570
       11030      -16360       -7620
       11040      -15964       -7664
       11050      -16268       -7640
       11060      -15900       -7546
       11070      -15836       -7444
       11080      -16032       -7430
       11090      -15932       -7424
       11100      -16020       -7482
       11110      -16108       -7348
       11120      -15768       -7194
       11130      -15536       -7258
       11140      -16312       -7478
       11150      -15980       -7426
       11160      -16020       -7484
       11170      -16020       -7374
       11180      -15936       -7480
       11190      -15956       -7496
       11200      -16120       -7626
       11210      -15908       -7362
       11220      -16016       -7416
       11230      -15916       -7456
       11240      -15932       -7586
       11250      -16144       -7628
       11260      -16160       -7594
       11270      -16076       -7570
       11280      -16220       -7690
       11290      -16404       -7896
       11300      -16172       -7776
       11310      -16404       -7952
       11320      -16392       -7918
       11330      -16484       -7922
       11340      -16432       -7956
       11350      -16432       -8014
       11360      -16284       -7922
       11370      -16272       -8048
       11380      -16120       -7946
       11390      -16272       -7970
       11400      -16184       -7978
       11410      -16416       -8154
       11420      -16408       -8096
       11430      -16192       -8058
       11440      -16048       -7894
       11450      -16616       -8172
       11460      -16588       -8154
       11470      -16572       -8182
       11480      -16500       -8252
       11490      -16072       -8032
       11500      -16584       -8272
       11510      -16464       -8278
       11520      -16860       -8432
       11530      -16548       -8342
       11540      -16604       -8396
       11550      -16712       -8492
       11560      -16592       -8420
       11570      -16544       -8392
       11580      -16504       -8414
       11590      -16644       -8464
       11600      -16352       -8204
       11610      -16236       -8192
       11620      -16532       -8270
       11630      -16284       -8206
       11640      -16696       -8334
       11650      -16548       -8300
       11660      -16452       -8350
       11670      -16580       -8452
       11680      -16788       -8498
       11690      -16836       -8592
       11700      -16428       -8382
       11710      -16664       -8490
       11720      -17028       -8678
       11730      -16948       -8576
       11740      -16788       -8576
       11750      -16612       -8512
       11760      -16436       -8446
       11770      -16280       -8370
