 # L =          100
     # Time          E          M
          10      -10712         130
          20      -11944        -224
          30      -12324        -134
          40      -12628        -126
          50      -12768          36
          60      -13192         -10
          70      -13332         -12
          80      -13368          94
          90      -13580          76
         100      -13696         -26
         110      -13872        -146
         120      -13800         -14
         130      -13900         108
         140      -13620          36
         150      -14040        -204
         160      -14284        -380
         170      -14108        -244
         180      -14364        -164
         190      -14480        -118
         200      -14080        -400
         210      -13848        -462
         220      -14088        -574
         230      -14260        -624
         240      -14220        -660
         250      -14272        -472
         260      -14324        -272
         270      -14440         -52
         280      -14444        -336
         290      -14512        -306
         300      -14476        -218
         310      -15012        -468
         320      -14608        -648
         330      -15036        -758
         340      -15016        -582
         350      -15188        -614
         360      -14832        -752
         370      -14804        -674
         380      -15216        -554
         390      -15200        -728
         400      -14808        -582
         410      -14972        -746
         420      -15196        -728
         430      -14836       -1030
         440      -15036       -1010
         450      -14832        -788
         460      -15112        -816
         470      -15132        -788
         480      -15228        -880
         490      -15304        -692
         500      -15388        -778
         510      -15104        -674
         520      -15320        -554
         530      -15132        -410
         540      -14908        -570
         550      -15408        -578
         560      -15036        -536
         570      -14888        -682
         580      -15016        -678
         590      -14892        -792
         600      -14804        -884
         610      -15108        -760
         620      -15176        -904
         630      -15052        -812
         640      -15244       -1064
         650      -15032        -958
         660      -15348       -1082
         670      -15140       -1122
         680      -15348       -1192
         690      -15400       -1118
         700      -15420       -1052
         710      -15364        -986
         720      -15460       -1024
         730      -15628       -1130
         740      -15336       -1086
         750      -15572       -1134
         760      -15436       -1052
         770      -15360       -1114
         780      -15372       -1218
         790      -15360       -1302
         800      -15316       -1334
         810      -15324       -1460
         820      -15088       -1432
         830      -15104       -1556
         840      -15320       -1634
         850      -15148       -1714
         860      -15252       -1798
         870      -15328       -1844
         880      -15500       -1948
         890      -15144       -1908
         900      -15312       -1858
         910      -15084       -1952
         920      -14824       -1980
         930      -15008       -2132
         940      -15000       -1880
         950      -15124       -1996
         960      -15352       -1980
         970      -15136       -1978
         980      -15316       -2068
